PROC CODE,PROCEDURE DESCRIPTION
80002,AUTOMATED MULTICHANNEL TEST; 1 OR 2
80002,AUTOMATED MULTICHANNEL TEST; 1 OR 2
80003,AUTOMATED MULTICHANNEL TEST; 3 CLIN
80003,AUTOMATED MULTICHANNEL TEST; 3 CLIN
80004,AUTOMATED MULTICHANNEL TEST; 4 CLIN
80004,AUTOMATED MULTICHANNEL TEST; 4 CLIN
80005,AUTOMATED MULTICHANNEL TEST; 5 CLIN
80005,AUTOMATED MULTICHANNEL TEST; 5 CLIN
80006,AUTOMATED MULTICHANNEL TEST; 6 CLIN
80006,AUTOMATED MULTICHANNEL TEST; 6 CLIN
80007,AUTOMATED MULTICHANNEL TEST; 7 CLIN
80007,AUTOMATED MULTICHANNEL TEST; 7 CLIN
80008,AUTOMATED MULTICHANNEL TEST; 8 CLIN
80008,AUTOMATED MULTICHANNEL TEST; 8 CLIN
80009,AUTOMATED MULTICHANNEL TEST; 9 CLIN
80009,AUTOMATED MULTICHANNEL TEST; 9 CLIN
80010,AUTOMATED MULTICHANNEL TEST; 10 CLI
80010,AUTOMATED MULTICHANNEL TEST; 10 CLI
80011,AUTOMATED MULTICHANNEL TEST; 11 CLI
80011,AUTOMATED MULTICHANNEL TEST; 11 CLI
80012,AUTOMATED MULTICHANNEL TEST; 12 CLI
80012,AUTOMATED MULTICHANNEL TEST; 12 CLI
80013,BLOOD/URINE TESTS                  
80016,AUTOMATED MULTICHANNEL TEST; 13-16 
80016,AUTOMATED MULTICHANNEL TEST; 13-16 
80018,AUTOMATED MULTICHANNEL TEST; 17-18 
80018,AUTOMATED MULTICHANNEL TEST; 17-18 
80019,AUTOMATED MULTICHANNEL TEST; 19 CLI
80019,AUTOMATED MULTICHANNEL TEST; 19 CLI
80031,THERAPEUTIC QUANTITATIVE DRUG MONIT
80031,THERAPEUTIC QUANTITATIVE DRUG MONIT
80032,THERAPEUTIC QUANTITATIVE DRUG MONIT
80032,THERAPEUTIC QUANTITATIVE DRUG MONIT
80033,THERAPEUTIC QUANTITATIVE DRUG MONIT
80034,THERAPEUTIC QUANTITATIVE DRUG MONIT
80040,SERUM RADIOIMMUNOASSAY FOR CIRCULAT
80040,SERUM RADIOIMMUNOASSAY FOR CIRCULAT
80042,"SERUM ANTIMICROBIAL LEVEL, BIOASSAY"
80042,"SERUM ANTIMICROBIAL LEVEL, BIOASSAY"
80047,METABOLIC PANEL IONIZED CA         
80047,METABOLIC PANEL IONIZED CA         
80047,METABOLIC PANEL IONIZED CA         
80048,METABOLIC PANEL TOTAL CA           
80048,METABOLIC PANEL TOTAL CA           
80048,METABOLIC PANEL TOTAL CA           
80048,METABOLIC PANEL TOTAL CA           
80048,METABOLIC PANEL TOTAL CA           
80049,BASIC METABOLIC PANEL              
80050,GENERAL HEALTH PANEL               
80050,GENERAL HEALTH PANEL               
80050,GENERAL HEALTH PANEL               
80050,GENERAL HEALTH PANEL               
80050,GENERAL HEALTH PANEL               
80050,GENERAL HEALTH PANEL               
80050,GENERAL HEALTH PANEL               
80050,GENERAL HEALTH PANEL               
80050,GENERAL HEALTH PANEL               
80050,GENERAL HEALTH PANEL               
80050,GENERAL HEALTH PANEL               
80050,GENERAL HEALTH PANEL               
80050,GENERAL HEALTH PANEL               
80050,GENERAL HEALTH PANEL               
80050,GENERAL HEALTH PANEL               
80050,GENERAL HEALTH PANEL               
80050,GENERAL HEALTH PANEL               
80050,GENERAL HEALTH PANEL               
80050,GENERAL HEALTH PANEL               
80050,GENERAL HEALTH PANEL               
80050,GENERAL HEALTH PANEL               
80050,GENERAL HEALTH PANEL               
80050,GENERAL HEALTH PANEL               
80050,GENERAL HEALTH PANEL               
