ICD-10-PCS Code quoted,ICD-10-PCS Code,ICD-10-PCS Code Description,CCSR Category,CCSR Category Description,Clinical Domain
"""0016070""",0016070,"Bypass Cerebral Ventricle to Nasopharynx with Autologous Tissue Substitute, Open Approach",CNS010,Cerebrospinal fluid shunt procedures,Central Nervous System Procedures
"""0016071""",0016071,"Bypass Cerebral Ventricle to Mastoid Sinus with Autologous Tissue Substitute, Open Approach",CNS010,Cerebrospinal fluid shunt procedures,Central Nervous System Procedures
"""0016072""",0016072,"Bypass Cerebral Ventricle to Atrium with Autologous Tissue Substitute, Open Approach",CNS010,Cerebrospinal fluid shunt procedures,Central Nervous System Procedures
"""0016073""",0016073,"Bypass Cerebral Ventricle to Blood Vessel with Autologous Tissue Substitute, Open Approach",CNS010,Cerebrospinal fluid shunt procedures,Central Nervous System Procedures
"""0016074""",0016074,"Bypass Cerebral Ventricle to Pleural Cavity with Autologous Tissue Substitute, Open Approach",CNS010,Cerebrospinal fluid shunt procedures,Central Nervous System Procedures
"""0016075""",0016075,"Bypass Cerebral Ventricle to Intestine with Autologous Tissue Substitute, Open Approach",CNS010,Cerebrospinal fluid shunt procedures,Central Nervous System Procedures
"""0016076""",0016076,"Bypass Cerebral Ventricle to Peritoneal Cavity with Autologous Tissue Substitute, Open Approach",CNS010,Cerebrospinal fluid shunt procedures,Central Nervous System Procedures
"""0016077""",0016077,"Bypass Cerebral Ventricle to Urinary Tract with Autologous Tissue Substitute, Open Approach",CNS010,Cerebrospinal fluid shunt procedures,Central Nervous System Procedures
"""0016078""",0016078,"Bypass Cerebral Ventricle to Bone Marrow with Autologous Tissue Substitute, Open Approach",CNS010,Cerebrospinal fluid shunt procedures,Central Nervous System Procedures
"""0016370""",0016370,"Bypass Cerebral Ventricle to Nasopharynx with Autologous Tissue Substitute, Percutaneous Approach",CNS010,Cerebrospinal fluid shunt procedures,Central Nervous System Procedures
"""0016371""",0016371,"Bypass Cerebral Ventricle to Mastoid Sinus with Autologous Tissue Substitute, Percutaneous Approach",CNS010,Cerebrospinal fluid shunt procedures,Central Nervous System Procedures
"""0016372""",0016372,"Bypass Cerebral Ventricle to Atrium with Autologous Tissue Substitute, Percutaneous Approach",CNS010,Cerebrospinal fluid shunt procedures,Central Nervous System Procedures
"""0016373""",0016373,"Bypass Cerebral Ventricle to Blood Vessel with Autologous Tissue Substitute, Percutaneous Approach",CNS010,Cerebrospinal fluid shunt procedures,Central Nervous System Procedures
"""0016374""",0016374,"Bypass Cerebral Ventricle to Pleural Cavity with Autologous Tissue Substitute, Percutaneous Approach",CNS010,Cerebrospinal fluid shunt procedures,Central Nervous System Procedures
"""0016375""",0016375,"Bypass Cerebral Ventricle to Intestine with Autologous Tissue Substitute, Percutaneous Approach",CNS010,Cerebrospinal fluid shunt procedures,Central Nervous System Procedures
"""0016376""",0016376,"Bypass Cerebral Ventricle to Peritoneal Cavity with Autologous Tissue Substitute, Percutaneous Approach",CNS010,Cerebrospinal fluid shunt procedures,Central Nervous System Procedures
"""0016377""",0016377,"Bypass Cerebral Ventricle to Urinary Tract with Autologous Tissue Substitute, Percutaneous Approach",CNS010,Cerebrospinal fluid shunt procedures,Central Nervous System Procedures
