"Code","Full Description","Class"
"33860","ASCENDING AORTIC GRAFT","AAA"
"33863","ASCENDING AORTIC GRAFT","AAA"
"33864","ASCENDING AORTIC GRAFT","AAA"
"33870","TRANSVERSE ARCH GRAFT, WITH CARDIOP","AAA"
"33875","THORACIC AORTIC GRAFT","AAA"
"33877","THORACOABDOMINAL GRAFT","AAA"
"33880","ENDOVASC TAA REPR INCL SUBCL","AAA"
"33881","ENDOVASC TAA REPR W/O SUBCL","AAA"
"34701","EVASC RPR A-AO NDGFT","AAA"
"34702","EVASC RPR A-AO NDGFT RPT","AAA"
"34703","EVASC RPR A-UNILAC NDGFT","AAA"
"34704","EVASC RPR A-UNILAC NDGFT RPT","AAA"
"34705","EVAC RPR A-BIILIAC NDGFT","AAA"
"34706","EVASC RPR A-BIILIAC RPT","AAA"
"34800","ENDOVAS AAA REPR W/SM TUBE","AAA"
"34802","ENDOVAS AAA REPR W/2-P PART","AAA"
"34803","ENDOVAS AAA REPR W/3-P PART","AAA"
"34804","ENDOVAS AAA REPR W/1-P PART","AAA"
"34805","ENDOVAS AAA REPR W/LONG TUBE","AAA"
"34808","ENDOVAS ILIAC A DEVICE ADDON","AAA"
"34825","ENDOVASC EXTEND PROSTH INIT","AAA"
"34826","ENDOVASC EXTEN PROSTH ADDL","AAA"
"34830","OPEN AORTIC TUBE PROSTH REPR","AAA"
"34831","OPEN AORTOILIAC PROSTH REPR","AAA"
"34832","OPEN AORTOFEMOR PROSTH REPR","AAA"
"35081","REPAIR DEFECT OF ARTERY","AAA"
"35082","REPAIR ARTERY RUPTURE AORTA","AAA"
"35091","REPAIR DEFECT OF ARTERY","AAA"
"35092","REPAIR ARTERY RUPTURE AORTA","AAA"
"35102","REPAIR DEFECT OF ARTERY","AAA"
"35103","REPAIR ARTERY RUPTURE AORTA","AAA"
"27125","HEMIARTHROPLASTY, HIP, PARTIAL (EG,","THA"
"27130","TOTAL HIP ARTHROPLASTY","THA"
"27132","TOTAL HIP ARTHROPLASTY","THA"
"27134","REVISION OF TOTAL HIP ARTHROPLASTY;","THA"
"27137","REVISE HIP JOINT REPLACEMENT","THA"
"27138","REVISION OF TOTAL HIP ARTHROPLASTY;","THA"
"29914","HIP ARTHRO W/FEMOROPLASTY","THA"
"29915","HIP ARTHRO ACETABULOPLASTY","THA"
"29916","HIP ARTHRO W/LABRAL REPAIR","THA"
"S2118",NA,"THA"
"27420","REVISION OF UNSTABLE KNEECAP","TKA"
"27422","REVISION OF UNSTABLE KNEECAP","TKA"
"27424","REVISION/REMOVAL OF KNEECAP","TKA"
"27427","RECONSTRUCTION KNEE","TKA"
"27428","RECONSTRUCTION KNEE","TKA"
"27429","RECONSTRUCTION KNEE","TKA"
"27437","REVISE KNEECAP","TKA"
"27438","REVISE KNEECAP WITH IMPLANT","TKA"
"27440","REVISION OF KNEE JOINT","TKA"
"27441","REVISION OF KNEE JOINT","TKA"
"27442","REVISION OF KNEE JOINT","TKA"
"27443","REVISION OF KNEE JOINT","TKA"
"27445","REVISION OF KNEE JOINT","TKA"
"27446","REVISION OF KNEE JOINT","TKA"
"27447","TOTAL KNEE ARTHROPLASTY","TKA"
"27486","REVISE/REPLACE KNEE JOINT","TKA"
"27487","REVISE/REPLACE KNEE JOINT","TKA"
"G0428",NA,"TKA"
"44950","APPENDECTOMY;","appendectomy"
"44955","APPENDECTOMY ADD-ON","appendectomy"
"44960","APPENDECTOMY; FOR RUPTURED APPENDIX","appendectomy"
"44970","LAPAROSCOPY APPENDECTOMY","appendectomy"
"47400","INCISION OF LIVER DUCT","chole"
"47420","INCISION OF BILE DUCT","chole"
"47425","INCISION OF BILE DUCT","chole"
"47460","TRANSDUODENAL SPHINCTEROTOMY OR SPH","chole"
"47550","BILE DUCT ENDOSCOPY ADD-ON","chole"
"47562","LAPAROSCOPY, SURGICAL; CHOLECYSTECT","chole"
"47563","LAPARO CHOLECYSTECTOMY/GRAPH","chole"
"47564","LAPARO CHOLECYSTECTOMY/EXPLR","chole"
"47600","CHOLECYSTECTOMY","chole"
"47605","CHOLECYSTECTOMY W/CHOLANG","chole"
"47610","CHOLECYSTECTOMY WITH EXPLORATION OF","chole"
"47612","CHOLECYSTECTOMY WITH EXPLORATION OF","chole"
"47620","REMOVAL OF GALLBLADDER","chole"
"44120","REMOVAL OF SMALL INTESTINE","colectomy"
"44140","PARTIAL REMOVAL OF COLON","colectomy"
"44141","PARTIAL REMOVAL OF COLON","colectomy"
"44143","PARTIAL REMOVAL OF COLON","colectomy"
"44144","PARTIAL REMOVAL OF COLON","colectomy"
"44145","COLECTOMY, PARTIAL; WITH COLOPROCTO","colectomy"
"44146","COLECTOMY, PARTIAL; WITH COLOPROCTO","colectomy"
"44147","PARTIAL REMOVAL OF COLON","colectomy"
"44150","REMOVAL OF COLON","colectomy"
"44151","REMOVAL OF COLON/ILEOSTOMY","colectomy"
"44155","REMOVAL OF COLON/ILEOSTOMY","colectomy"
"44156","REMOVAL OF COLON/ILEOSTOMY","colectomy"
"44157","COLECTOMY W/ILEOANAL ANAST","colectomy"
"44158","COLECTOMY W/NEO-RECTUM POUCH","colectomy"
"44160","COLECTOMY, PARTIAL, WITH REMOVAL OF","colectomy"
"44204","LAPAROSCOPY, SURGICAL; COLECTOMY, P","colectomy"
"44205","LAPAROSCOPY, SURGICAL; COLECTOMY, P","colectomy"
"44206","LAP PART COLECTOMY W/STOMA","colectomy"
"44207","LAPAROSCOPY, SURGICAL; COLECTOMY, P","colectomy"
"44208","L COLECTOMY/COLOPROCTOSTOMY","colectomy"
"44210","LAPAROSCOPY, SURGICAL; COLECTOMY, T","colectomy"
"44211","LAP COLECTOMY W/PROCTECTOMY","colectomy"
"44212","LAPARO TOTAL PROCTOCOLECTOMY","colectomy"
"45110","REMOVAL OF RECTUM","colectomy"
"45111","PARTIAL REMOVAL OF RECTUM","colectomy"
"45112","REMOVAL OF RECTUM","colectomy"
"45113","PARTIAL PROCTECTOMY","colectomy"
"45114","PARTIAL REMOVAL OF RECTUM","colectomy"
"45116","PARTIAL REMOVAL OF RECTUM","colectomy"
"45119","REMOVE RECTUM W/RESERVOIR","colectomy"
"45120","REMOVAL OF RECTUM","colectomy"
"45121","REMOVAL OF RECTUM AND COLON","colectomy"
"45395","LAP REMOVAL OF RECTUM","colectomy"
"45397","LAP REMOVE RECTUM W/POUCH","colectomy"
"61304","CRNEC/CRNOT EXPL SUPRATNTORL","craniotomy"
"61305","CRNEC/CRNOT EXPL INFRATNTORL","craniotomy"
"61312","CRNEC/CRNOT STTL XDRL/SDRL","craniotomy"
"61313","CRNEC/CRNOT STTL ICERE","craniotomy"
"61314","CRNEC/CRNOT ITTL XDRL/SDRL","craniotomy"
