"Number / Range","Full Description","Approach","WithDevice","DrugEluting","Brachytherapy"
"0270046","Dilation of Coronary Artery, One Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach","Open Approach",TRUE,TRUE,FALSE
"027004Z","Dilation of Coronary Artery, One Artery with Drug-eluting Intraluminal Device, Open Approach","Open Approach",TRUE,TRUE,FALSE
"0270056","Dilation of Coronary Artery, One Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach","Open Approach",TRUE,TRUE,FALSE
"027005Z","Dilation of Coronary Artery, One Artery with Two Drug-eluting Intraluminal Devices, Open Approach","Open Approach",TRUE,TRUE,FALSE
"0270066","Dilation of Coronary Artery, One Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach","Open Approach",TRUE,TRUE,FALSE
"027006Z","Dilation of Coronary Artery, One Artery with Three Drug-eluting Intraluminal Devices, Open Approach","Open Approach",TRUE,TRUE,FALSE
"0270076","Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach","Open Approach",TRUE,TRUE,FALSE
"027007Z","Dilation of Coronary Artery, One Artery with Four or More Drug-eluting Intraluminal Devices, Open Approach","Open Approach",TRUE,TRUE,FALSE
"02700D6","Dilation of Coronary Artery, One Artery, Bifurcation, with Intraluminal Device, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02700DZ","Dilation of Coronary Artery, One Artery with Intraluminal Device, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02700E6","Dilation of Coronary Artery, One Artery, Bifurcation, with Two Intraluminal Devices, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02700EZ","Dilation of Coronary Artery, One Artery with Two Intraluminal Devices, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02700F6","Dilation of Coronary Artery, One Artery, Bifurcation, with Three Intraluminal Devices, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02700FZ","Dilation of Coronary Artery, One Artery with Three Intraluminal Devices, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02700G6","Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02700GZ","Dilation of Coronary Artery, One Artery with Four or More Intraluminal Devices, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02700T6","Dilation of Coronary Artery, One Artery, Bifurcation, with Radioactive Intraluminal Device, Open Approach","Open Approach",TRUE,FALSE,TRUE
"02700TZ","Dilation of Coronary Artery, One Artery with Radioactive Intraluminal Device, Open Approach","Open Approach",TRUE,FALSE,TRUE
"02700Z6","Dilation of Coronary Artery, One Artery, Bifurcation, Open Approach","Open Approach",FALSE,FALSE,FALSE
"02700ZZ","Dilation of Coronary Artery, One Artery, Open Approach","Open Approach",FALSE,FALSE,FALSE
"0270346","Dilation of Coronary Artery, One Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"027034Z","Dilation of Coronary Artery, One Artery with Drug-eluting Intraluminal Device, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"0270356","Dilation of Coronary Artery, One Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"027035Z","Dilation of Coronary Artery, One Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"0270366","Dilation of Coronary Artery, One Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"027036Z","Dilation of Coronary Artery, One Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"0270376","Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"027037Z","Dilation of Coronary Artery, One Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"02703D6","Dilation of Coronary Artery, One Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02703DZ","Dilation of Coronary Artery, One Artery with Intraluminal Device, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02703E6","Dilation of Coronary Artery, One Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02703EZ","Dilation of Coronary Artery, One Artery with Two Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02703F6","Dilation of Coronary Artery, One Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02703FZ","Dilation of Coronary Artery, One Artery with Three Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02703G6","Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02703GZ","Dilation of Coronary Artery, One Artery with Four or More Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02703T6","Dilation of Coronary Artery, One Artery, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,TRUE
"02703TZ","Dilation of Coronary Artery, One Artery with Radioactive Intraluminal Device, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,TRUE
"02703Z6","Dilation of Coronary Artery, One Artery, Bifurcation, Percutaneous Approach","Percutaneous Approach",FALSE,FALSE,FALSE
"02703ZZ","Dilation of Coronary Artery, One Artery, Percutaneous Approach","Percutaneous Approach",FALSE,FALSE,FALSE
"0270446","Dilation of Coronary Artery, One Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"027044Z","Dilation of Coronary Artery, One Artery with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"0270456","Dilation of Coronary Artery, One Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"027045Z","Dilation of Coronary Artery, One Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"0270466","Dilation of Coronary Artery, One Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"027046Z","Dilation of Coronary Artery, One Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"0270476","Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
