"Code","Full Description","Class","Approach"
"04B00ZZ","Excision of Abdominal Aorta, Open Approach","AAA","Open Approach"
"04B03ZZ","Excision of Abdominal Aorta, Percutaneous Approach","AAA","Percutaneous Approach"
"04B04ZZ","Excision of Abdominal Aorta, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04H00DZ","Insertion of Intraluminal Device into Abdominal Aorta, Open Approach","AAA","Open Approach"
"04H03DZ","Insertion of Intraluminal Device into Abdominal Aorta, Percutaneous Approach","AAA","Percutaneous Approach"
"04H04DZ","Insertion of Intraluminal Device into Abdominal Aorta, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04L00DJ","Occlusion of Abdominal Aorta with Intraluminal Device, Temporary, Open Approach","AAA","Open Approach"
"04L00DZ","Occlusion of Abdominal Aorta with Intraluminal Device, Open Approach","AAA","Open Approach"
"04L00ZZ","Occlusion of Abdominal Aorta, Open Approach","AAA","Open Approach"
"04L03DJ","Occlusion of Abdominal Aorta with Intraluminal Device, Temporary, Percutaneous Approach","AAA","Percutaneous Approach"
"04L03DZ","Occlusion of Abdominal Aorta with Intraluminal Device, Percutaneous Approach","AAA","Percutaneous Approach"
"04L03ZZ","Occlusion of Abdominal Aorta, Percutaneous Approach","AAA","Percutaneous Approach"
"04L04DZ","Occlusion of Abdominal Aorta with Intraluminal Device, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04L04ZZ","Occlusion of Abdominal Aorta, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04Q00ZZ","Repair Abdominal Aorta, Open Approach","AAA","Open Approach"
"04Q03ZZ","Repair Abdominal Aorta, Percutaneous Approach","AAA","Percutaneous Approach"
"04Q04ZZ","Repair Abdominal Aorta, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04R007Z","Replacement of Abdominal Aorta with Autologous Tissue Substitute, Open Approach","AAA","Open Approach"
"04R00JZ","Replacement of Abdominal Aorta with Synthetic Substitute, Open Approach","AAA","Open Approach"
"04R00KZ","Replacement of Abdominal Aorta with Nonautologous Tissue Substitute, Open Approach","AAA","Open Approach"
"04R047Z","Replacement of Abdominal Aorta with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04R04JZ","Replacement of Abdominal Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04R04KZ","Replacement of Abdominal Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04U007Z","Supplement Abdominal Aorta with Autologous Tissue Substitute, Open Approach","AAA","Open Approach"
"04U00JZ","Supplement Abdominal Aorta with Synthetic Substitute, Open Approach","AAA","Open Approach"
"04U00KZ","Supplement Abdominal Aorta with Nonautologous Tissue Substitute, Open Approach","AAA","Open Approach"
"04U037Z","Supplement Abdominal Aorta with Autologous Tissue Substitute, Percutaneous Approach","AAA","Percutaneous Approach"
"04U03JZ","Supplement Abdominal Aorta with Synthetic Substitute, Percutaneous Approach","AAA","Percutaneous Approach"
"04U03KZ","Supplement Abdominal Aorta with Nonautologous Tissue Substitute, Percutaneous Approach","AAA","Percutaneous Approach"
"04U047Z","Supplement Abdominal Aorta with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04U04JZ","Supplement Abdominal Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04U04KZ","Supplement Abdominal Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04V00D6","Restriction of Abdominal Aorta, Bifurcation, with Intraluminal Device, Open Approach","AAA","Open Approach"
"04V00DJ","Restriction of Abdominal Aorta with Intraluminal Device, Temporary, Open Approach","AAA","Open Approach"
"04V00DZ","Restriction of Abdominal Aorta with Intraluminal Device, Open Approach","AAA","Open Approach"
"04V00E6","Restriction of Abdominal Aorta, Bifurcation, with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Open Approach","AAA","Open Approach"
"04V00EZ","Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Open Approach","AAA","Open Approach"
"04V00F6","Restriction of Abdominal Aorta, Bifurcation, with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Open Approach","AAA","Open Approach"
"04V00FZ","Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Open Approach","AAA","Open Approach"
"04V00Z6","Restriction of Abdominal Aorta, Bifurcation, Open Approach","AAA","Open Approach"
"04V00ZZ","Restriction of Abdominal Aorta, Open Approach","AAA","Open Approach"
"04V03D6","Restriction of Abdominal Aorta, Bifurcation, with Intraluminal Device, Percutaneous Approach","AAA","Percutaneous Approach"
"04V03DJ","Restriction of Abdominal Aorta with Intraluminal Device, Temporary, Percutaneous Approach","AAA","Percutaneous Approach"
"04V03DZ","Restriction of Abdominal Aorta with Intraluminal Device, Percutaneous Approach","AAA","Percutaneous Approach"
"04V03E6","Restriction of Abdominal Aorta, Bifurcation, with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Percutaneous Approach","AAA","Percutaneous Approach"
"04V03EZ","Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Percutaneous Approach","AAA","Percutaneous Approach"
"04V03F6","Restriction of Abdominal Aorta, Bifurcation, with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Percutaneous Approach","AAA","Percutaneous Approach"
"04V03FZ","Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Percutaneous Approach","AAA","Percutaneous Approach"
"04V03Z6","Restriction of Abdominal Aorta, Bifurcation, Percutaneous Approach","AAA","Percutaneous Approach"
"04V03ZZ","Restriction of Abdominal Aorta, Percutaneous Approach","AAA","Percutaneous Approach"
"04V04D6","Restriction of Abdominal Aorta, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04V04DJ","Restriction of Abdominal Aorta with Intraluminal Device, Temporary, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04V04DZ","Restriction of Abdominal Aorta with Intraluminal Device, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04V04E6","Restriction of Abdominal Aorta, Bifurcation, with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04V04EZ","Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04V04F6","Restriction of Abdominal Aorta, Bifurcation, with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04V04FZ","Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04V04Z6","Restriction of Abdominal Aorta, Bifurcation, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04V04ZZ","Restriction of Abdominal Aorta, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"0SR9019","Replacement of Right Hip Joint with Metal Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SR901A","Replacement of Right Hip Joint with Metal Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SR901Z","Replacement of Right Hip Joint with Metal Synthetic Substitute, Open Approach","THA","Open Approach"
"0SR9029","Replacement of Right Hip Joint with Metal on Polyethylene Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SR902A","Replacement of Right Hip Joint with Metal on Polyethylene Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
