"category","codes"
"AorticOPEN","027F04Z, 027F0DZ, 027F0ZZ, 02CF0ZZ, 02NF0ZZ, 02QF0ZZ, 02RF07Z, 02RF08Z, 02RF0JZ, 02RF0KZ"
"AorticPERC","027F34Z, 027F3DZ, 027F3ZZ, 027F44Z, 027F4DZ, 027F4ZZ, 02CF3ZZ, 02CF4ZZ, 02NF3ZZ, 02NF4ZZ, 02RF37H, 02RF37Z, 02RF38H, 02RF38Z, 02RF3JH, 02RF3JZ, 02RF3KH, 02RF3KZ, 02RF47Z, 02RF48Z, 02RF4JZ, 02RF4KZ"
"CABGOPEN","0210093, 0210098, 0210099, 021009C, 021009F, 021009W, 02100A3, 02100A8, 02100A9, 02100AC, 02100AF, 02100AW, 02100J3, 02100J8, 02100J9, 02100JC, 02100JF, 02100JW, 02100K3, 02100K8, 02100K9, 02100KC, 02100KF, 02100KW, 02100Z3, 02100Z8, 02100Z9, 02100ZC, 02100ZF, 0211093, 0211098, 0211099, 021109C, 021109F, 021109W, 02110A3, 02110A8, 02110A9, 02110AC, 02110AF, 02110AW, 02110J3, 02110J8, 02110J9, 02110JC, 02110JF, 02110JW, 02110K3, 02110K8, 02110K9, 02110KC, 02110KF, 02110KW, 02110Z3, 02110Z8, 02110Z9, 02110ZC, 02110ZF, 0212093, 0212098, 0212099, 021209C, 021209F, 021209W, 02120A3, 02120A8, 02120A9, 02120AC, 02120AF, 02120AW, 02120J3, 02120J8, 02120J9, 02120JC, 02120JF, 02120JW, 02120K3, 02120K8, 02120K9, 02120KC, 02120KF, 02120KW, 02120Z3, 02120Z8, 02120Z9, 02120ZC, 02120ZF, 0213093, 0213098, 0213099, 021309C, 021309F, 021309W, 02130A3, 02130A8, 02130A9, 02130AC, 02130AF, 02130AW, 02130J3, 02130J8, 02130J9, 02130JC, 02130JF, 02130JW, 02130K3, 02130K8, 02130K9, 02130KC, 02130KF, 02130KW, 02130Z3, 02130Z8, 02130Z9, 02130ZC, 02130ZF, 021K0Z8"
"CABGPERC","0210493, 0210498, 0210499, 021049C, 021049F, 021049W, 02104A3, 02104A8, 02104A9, 02104AC, 02104AF, 02104AW, 02104J3, 02104J8, 02104J9, 02104JC, 02104JF, 02104JW, 02104K3, 02104K8, 02104K9, 02104KC, 02104KF, 02104KW, 02104Z3, 02104Z8, 02104Z9, 02104ZC, 02104ZF, 0211493, 0211498, 0211499, 021149C, 021149F, 021149W, 02114A3, 02114A8, 02114A9, 02114AC, 02114AF, 02114AW, 02114J3, 02114J8, 02114J9, 02114JC, 02114JF, 02114JW, 02114K3, 02114K8, 02114K9, 02114KC, 02114KF, 02114KW, 02114Z3, 02114Z8, 02114Z9, 02114ZC, 02114ZF, 0212493, 0212498, 0212499, 021249C, 021249F, 021249W, 02124A3, 02124A8, 02124A9, 02124AC, 02124AF, 02124AW, 02124J3, 02124J8, 02124J9, 02124JC, 02124JF, 02124JW, 02124K3, 02124K8, 02124K9, 02124KC, 02124KF, 02124KW, 02124Z3, 02124Z8, 02124Z9, 02124ZC, 02124ZF, 0213493, 0213498, 0213499, 021349C, 021349F, 021349W, 02134A3, 02134A8, 02134A9, 02134AC, 02134AF, 02134AW, 02134J3, 02134J8, 02134J9, 02134JC, 02134JF, 02134JW, 02134K3, 02134K8, 02134K9, 02134KC, 02134KF, 02134KW, 02134Z3, 02134Z8, 02134Z9, 02134ZC, 02134ZF"
"MitralOPEN","027G04Z, 027G0DZ, 027G0ZZ, 02CG0ZZ, 02NG0ZZ, 02QG0ZZ, 02RG07Z, 02RG08Z, 02RG0JZ, 02RG0KZ"
"MitralPERC","027G34Z, 027G3DZ, 027G3ZZ, 027G44Z, 027G4DZ, 027G4ZZ, 02CG3ZZ, 02CG4ZZ, 02NG3ZZ, 02NG4ZZ, 02RG37H, 02RG37Z, 02RG38H, 02RG38Z, 02RG3JH, 02RG3JZ, 02RG3KH, 02RG3KZ, 02RG47Z, 02RG48Z, 02RG4JZ, 02RG4KZ, 02UG3JZ"
"PulmonicOPEN","02CH0ZZ, 02QH0ZZ, 02RH07Z, 02RH08Z, 02RH0JZ, 02RH0KZ, 02TH0ZZ"
"PulmonicPERC","027H34Z, 027H3DZ, 027H3ZZ, 027H44Z, 027H4DZ, 027H4ZZ, 02NH3ZZ, 02NH4ZZ, 02RH37Z, 02RH38Z, 02RH3JZ, 02RH3KZ, 02RH47Z, 02RH48Z, 02RH4JZ, 02RH4KZ, 02TH3ZZ, 02TH4ZZ"
"TricuspidOPEN","02CJ0ZZ, 02QJ0ZZ, 02RJ07Z, 02RJ08Z, 02RJ0JZ, 02RJ0KZ"
"TricuspidPERC","027J34Z, 027J3DZ, 027J3ZZ, 027J44Z, 027J4DZ, 027J4ZZ, 02NJ3ZZ, 02NJ4ZZ, 02RJ47Z, 02RJ48Z, 02RJ4JZ, 02RJ4KZ"
