"group","codes"
"AAA","04R007Z"
"AAA","04R00JZ"
"AAA","04R00KZ"
"AAA","04R047Z"
"AAA","04R04JZ"
"AAA","04R04KZ"
"AAA","04V00CZ"
"AAA","04V00DJ"
"AAA","04V00DZ"
"AAA","04V00EZ"
"AAA","04V00FZ"
"AAA","04V00ZZ"
"AAA","04V03CZ"
"AAA","04V03DJ"
"AAA","04V03DZ"
"AAA","04V03EZ"
"AAA","04V03FZ"
"AAA","04V03ZZ"
"AAA","04V04CZ"
"AAA","04V04DJ"
"AAA","04V04DZ"
"AAA","04V04EZ"
"AAA","04V04FZ"
"AAA","04V04ZZ"
"AAA","3952"
"AAA","34701"
"AAA","34702"
"AAA","34703"
"AAA","34704"
"AAA","34705"
"AAA","34706"
"AAA","34830"
"AAA","34831"
"AAA","34832"
"AAA","34841"
"AAA","34842"
"AAA","34843"
"AAA","34844"
"AAA","34845"
"AAA","34846"
"AAA","34847"
"AAA","34848"
"AAA","35081"
"AAA","35082"
"AAA","35091"
"AAA","35092"
"AAA","35102"
"AAA","35103"
"appendectomy","0DTJ0ZZ"
"appendectomy","0DTJ4ZG"
"appendectomy","0DTJ4ZZ"
"appendectomy","0DTJ7ZZ"
"appendectomy","0DTJ8ZZ"
"appendectomy","470"
"appendectomy","4701"
"appendectomy","4709"
"appendectomy","44950"
"appendectomy","44955"
"appendectomy","44960"
"appendectomy","44970"
"cholecystectomy","0FT40ZZ"
"cholecystectomy","0FT44ZG"
"cholecystectomy","0FT44ZZ"
"cholecystectomy","512"
"cholecystectomy","5122"
"cholecystectomy","5123"
"cholecystectomy","47562"
"cholecystectomy","47563"
"cholecystectomy","47564"
"cholecystectomy","47600"
"cholecystectomy","47605"
"cholecystectomy","47610"
"cholecystectomy","47612"
"cholecystectomy","47620"
"colon","0DTE0ZZ"
"colon","0DTE4ZZ"
"colon","0DTE7ZZ"
"colon","0DTE8ZZ"
"colon","0DTH0ZZ"
"colon","0DTH4ZZ"
"colon","0DTH7ZZ"
"colon","0DTH8ZZ"
"colon","0DTK0ZZ"
"colon","0DTK4ZZ"
"colon","0DTK7ZZ"
"colon","0DTK8ZZ"
"colon","0DTL0ZZ"
"colon","0DTL4ZG"
"colon","0DTL4ZZ"
"colon","0DTL7ZZ"
"colon","0DTL8ZZ"
"colon","0DTLFZZ"
"colon","0DTM0ZZ"
"colon","0DTM4ZG"
"colon","0DTM4ZZ"
"colon","0DTM7ZZ"
"colon","0DTM8ZZ"
"colon","0DTMFZZ"
"colon","0DTN0ZZ"
"colon","0DTN4ZG"
"colon","0DTN4ZZ"
